vlookup,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
Airpo12102023,,,,,,,,,,,,,,,,,,
Airpo12112023,,,,,,,,,,,,,,,,,,
Airpo12122023,,,,,,,,,,,,,,,,,,
Airpo13012023,,,,,,,,,,,,,,,,,,
Airpo13022023,,,,,,,,,,,,,,,,,,
Airpo13032023,,,,,,,,,,,,,,,,,,
Airpo13042023,,,,,,,,,,,,,,,,,,
Airpo13052023,,,,,,,,,,,,,,,,,,
Airpo13062023,,,,,,,,,,,,,,,,,,
Airpo13072023,,,,,,,,,,,,,,,,,,
Airpo13082023,,,,,,,,,,,,,,,,,,
Airpo13092023,,,,,,,,,,,,,,,,,,
Airpo13102023,,,,,,,,,,,,,,,,,,
Airpo13112023,,,,,,,,,,,,,,,,,,
Airpo13122023,,,,,,,,,,,,,,,,,,
Airpo14012023,,,,,,,,,,,,,,,,,,
Airpo14022023,,,,,,,,,,,,,,,,,,
Airpo14032023,,,,,,,,,,,,,,,,,,
Airpo14042023,,,,,,,,,,,,,,,,,,
Airpo14052023,,,,,,,,,,,,,,,,,,
Airpo14062023,,,,,,,,,,,,,,,,,,
Airpo14072023,,,,,,,,,,,,,,,,,,
Airpo14082023,,,,,,,,,,,,,,,,,,
Airpo14092023,,,,,,,,,,,,,,,,,,
Airpo14102023,,,,,,,,,,,,,,,,,,
Airpo14112023,,,,,,,,,,,,,,,,,,
Airpo14122023,,,,,,,,,,,,,,,,,,
Airpo15012023,,,,,,,,,,,,,,,,,,
Airpo15022023,,,,,,,,,,,,,,,,,,
Airpo15032023,,,,,,,,,,,,,,,,,,
Airpo15042023,,,,,,,,,,,,,,,,,,
Airpo15052023,,,,,,,,,,,,,,,,,,
Airpo15062023,,,,,,,,,,,,,,,,,,
Airpo15072023,,,,,,,,,,,,,,,,,,
Airpo15082023,,,,,,,,,,,,,,,,,,
Airpo15092023,,,,,,,,,,,,,,,,,,
Airpo15102023,,,,,,,,,,,,,,,,,,
Airpo15112023,,,,,,,,,,,,,,,,,,
Airpo15122023,,,,,,,,,,,,,,,,,,
Airpo16012023,,,,,,,,,,,,,,,,,,
Airpo16022023,,,,,,,,,,,,,,,,,,
Airpo16032023,,,,,,,,,,,,,,,,,,
Airpo16042023,,,,,,,,,,,,,,,,,,
Airpo16052023,,,,,,,,,,,,,,,,,,
Airpo16062023,,,,,,,,,,,,,,,,,,
Airpo16072023,,,,,,,,,,,,,,,,,,
Airpo16082023,,,,,,,,,,,,,,,,,,
Airpo16092023,,,,,,,,,,,,,,,,,,
Airpo16102023,,,,,,,,,,,,,,,,,,
Airpo16112023,,,,,,,,,,,,,,,,,,
Airpo16122023,,,,,,,,,,,,,,,,,,
Airpo17012023,,,,,,,,,,,,,,,,,,
Airpo17022023,,,,,,,,,,,,,,,,,,
Airpo17032023,,,,,,,,,,,,,,,,,,
Airpo17042023,,,,,,,,,,,,,,,,,,
Airpo17052023,,,,,,,,,,,,,,,,,,
Airpo17062023,,,,,,,,,,,,,,,,,,
Airpo17072023,,,,,,,,,,,,,,,,,,
Airpo17082023,,,,,,,,,,,,,,,,,,
Airpo17092023,,,,,,,,,,,,,,,,,,
Airpo17102023,,,,,,,,,,,,,,,,,,
Airpo17112023,,,,,,,,,,,,,,,,,,
Airpo17122023,,,,,,,,,,,,,,,,,,
Airpo18012023,,,,,,,,,,,,,,,,,,
Airpo18022023,,,,,,,,,,,,,,,,,,
Airpo18032023,,,,,,,,,,,,,,,,,,
Airpo18042023,,,,,,,,,,,,,,,,,,
Airpo18052023,,,,,,,,,,,,,,,,,,
Airpo18062023,,,,,,,,,,,,,,,,,,
Airpo18072023,,,,,,,,,,,,,,,,,,
Airpo18082023,,,,,,,,,,,,,,,,,,
Airpo18092023,,,,,,,,,,,,,,,,,,
Airpo18102023,,,,,,,,,,,,,,,,,,
Airpo18112023,,,,,,,,,,,,,,,,,,
Airpo18122023,,,,,,,,,,,,,,,,,,
Airpo19012023,,,,,,,,,,,,,,,,,,
Airpo19022023,,,,,,,,,,,,,,,,,,
Airpo19032023,,,,,,,,,,,,,,,,,,
Airpo19042023,,,,,,,,,,,,,,,,,,
Airpo19052023,,,,,,,,,,,,,,,,,,
Airpo19062023,,,,,,,,,,,,,,,,,,
Airpo19072023,,,,,,,,,,,,,,,,,,
Airpo19082023,,,,,,,,,,,,,,,,,,
Airpo19092023,,,,,,,,,,,,,,,,,,
Airpo19102023,,,,,,,,,,,,,,,,,,
Airpo19112023,,,,,,,,,,,,,,,,,,
Airpo19122023,,,,,,,,,,,,,,,,,,
Airpo20012023,,,,,,,,,,,,,,,,,,
Airpo20022023,,,,,,,,,,,,,,,,,,
Airpo20032023,,,,,,,,,,,,,,,,,,
Airpo20042023,,,,,,,,,,,,,,,,,,
Airpo20052023,,,,,,,,,,,,,,,,,,
Airpo20062023,,,,,,,,,,,,,,,,,,
Airpo20072023,,,,,,,,,,,,,,,,,,
Airpo20082023,,,,,,,,,,,,,,,,,,
Airpo20092023,,,,,,,,,,,,,,,,,,
Airpo20102023,,,,,,,,,,,,,,,,,,
Airpo20112023,,,,,,,,,,,,,,,,,,
Airpo20122023,,,,,,,,,,,,,,,,,,
Airpo21012023,,,,,,,,,,,,,,,,,,
Airpo21022023,,,,,,,,,,,,,,,,,,
Airpo21032023,,,,,,,,,,,,,,,,,,
Airpo21042023,,,,,,,,,,,,,,,,,,
Airpo21052023,,,,,,,,,,,,,,,,,,
Airpo21062023,,,,,,,,,,,,,,,,,,
Airpo21072023,,,,,,,,,,,,,,,,,,
Airpo21082023,,,,,,,,,,,,,,,,,,
Airpo21092023,,,,,,,,,,,,,,,,,,
Airpo21102023,,,,,,,,,,,,,,,,,,
Airpo21112023,,,,,,,,,,,,,,,,,,
Airpo21122023,,,,,,,,,,,,,,,,,,
Airpo22012023,,,,,,,,,,,,,,,,,,
Airpo22022023,,,,,,,,,,,,,,,,,,
Airpo22032023,,,,,,,,,,,,,,,,,,
Airpo22042023,,,,,,,,,,,,,,,,,,
Airpo22052023,,,,,,,,,,,,,,,,,,
Airpo22062023,,,,,,,,,,,,,,,,,,
Airpo22072023,,,,,,,,,,,,,,,,,,
Airpo22082023,,,,,,,,,,,,,,,,,,
Airpo22092023,,,,,,,,,,,,,,,,,,
Airpo22102023,,,,,,,,,,,,,,,,,,
Airpo22112023,,,,,,,,,,,,,,,,,,
Airpo22122023,,,,,,,,,,,,,,,,,,
Airpo23012023,,,,,,,,,,,,,,,,,,
Airpo23022023,,,,,,,,,,,,,,,,,,
Airpo23032023,,,,,,,,,,,,,,,,,,
Airpo23042023,,,,,,,,,,,,,,,,,,
Airpo23052023,,,,,,,,,,,,,,,,,,
Airpo23062023,,,,,,,,,,,,,,,,,,
Airpo23072023,,,,,,,,,,,,,,,,,,
Airpo23082023,,,,,,,,,,,,,,,,,,
Airpo23092023,,,,,,,,,,,,,,,,,,
Airpo23102023,,,,,,,,,,,,,,,,,,
Airpo23112023,,,,,,,,,,,,,,,,,,
Airpo23122023,,,,,,,,,,,,,,,,,,
Airpo24012023,,,,,,,,,,,,,,,,,,
Airpo24022023,,,,,,,,,,,,,,,,,,
Airpo24032023,,,,,,,,,,,,,,,,,,
Airpo24042023,,,,,,,,,,,,,,,,,,
Airpo24052023,,,,,,,,,,,,,,,,,,
Airpo24062023,,,,,,,,,,,,,,,,,,
Airpo24072023,,,,,,,,,,,,,,,,,,
Airpo24082023,,,,,,,,,,,,,,,,,,
Airpo24092023,,,,,,,,,,,,,,,,,,
Airpo24102023,,,,,,,,,,,,,,,,,,
Airpo24112023,,,,,,,,,,,,,,,,,,
Airpo24122023,,,,,,,,,,,,,,,,,,
Airpo25012023,,,,,,,,,,,,,,,,,,
Airpo25022023,,,,,,,,,,,,,,,,,,
Airpo25032023,,,,,,,,,,,,,,,,,,
Airpo25042023,,,,,,,,,,,,,,,,,,
Airpo25052023,,,,,,,,,,,,,,,,,,
Airpo25062023,,,,,,,,,,,,,,,,,,
Airpo25072023,,,,,,,,,,,,,,,,,,
Airpo25082023,,,,,,,,,,,,,,,,,,
Airpo25092023,,,,,,,,,,,,,,,,,,
Airpo25102023,,,,,,,,,,,,,,,,,,
Airpo25112023,,,,,,,,,,,,,,,,,,
Airpo25122023,,,,,,,,,,,,,,,,,,
Airpo26012023,,,,,,,,,,,,,,,,,,
Airpo26022023,,,,,,,,,,,,,,,,,,
Airpo26032023,,,,,,,,,,,,,,,,,,
Airpo26042023,,,,,,,,,,,,,,,,,,
Airpo26052023,,,,,,,,,,,,,,,,,,
Airpo26062023,,,,,,,,,,,,,,,,,,
Airpo26072023,,,,,,,,,,,,,,,,,,
Airpo26082023,,,,,,,,,,,,,,,,,,
Airpo26092023,,,,,,,,,,,,,,,,,,
Airpo26102023,,,,,,,,,,,,,,,,,,
Airpo26112023,,,,,,,,,,,,,,,,,,
Airpo26122023,,,,,,,,,,,,,,,,,,
Airpo27012023,,,,,,,,,,,,,,,,,,
Airpo27022023,,,,,,,,,,,,,,,,,,
Airpo27032023,,,,,,,,,,,,,,,,,,
Airpo27042023,,,,,,,,,,,,,,,,,,
Airpo27052023,,,,,,,,,,,,,,,,,,
Airpo27062023,,,,,,,,,,,,,,,,,,
Airpo27072023,,,,,,,,,,,,,,,,,,
Airpo27082023,,,,,,,,,,,,,,,,,,
Airpo27092023,,,,,,,,,,,,,,,,,,
Airpo27102023,,,,,,,,,,,,,,,,,,
Airpo27112023,,,,,,,,,,,,,,,,,,
Airpo27122023,,,,,,,,,,,,,,,,,,
Airpo28012023,,,,,,,,,,,,,,,,,,
Airpo28022023,,,,,,,,,,,,,,,,,,
Airpo28032023,,,,,,,,,,,,,,,,,,
Airpo28042023,,,,,,,,,,,,,,,,,,
Airpo28052023,,,,,,,,,,,,,,,,,,
Airpo28062023,,,,,,,,,,,,,,,,,,
Airpo28072023,,,,,,,,,,,,,,,,,,
Airpo28082023,,,,,,,,,,,,,,,,,,
Airpo28092023,,,,,,,,,,,,,,,,,,
Airpo28102023,,,,,,,,,,,,,,,,,,
Airpo28112023,,,,,,,,,,,,,,,,,,
Airpo28122023,,,,,,,,,,,,,,,,,,
Airpo29012023,,,,,,,,,,,,,,,,,,
Airpo29032023,,,,,,,,,,,,,,,,,,
Airpo29042023,,,,,,,,,,,,,,,,,,
Airpo29052023,,,,,,,,,,,,,,,,,,
Airpo29062023,,,,,,,,,,,,,,,,,,
Airpo29072023,,,,,,,,,,,,,,,,,,
Airpo29082023,,,,,,,,,,,,,,,,,,
Airpo29092023,,,,,,,,,,,,,,,,,,
Airpo29102023,,,,,,,,,,,,,,,,,,
Airpo29112023,,,,,,,,,,,,,,,,,,
Airpo29122023,,,,,,,,,,,,,,,,,,
Airpo30012023,,,,,,,,,,,,,,,,,,
Airpo30032023,,,,,,,,,,,,,,,,,,
Airpo30042023,,,,,,,,,,,,,,,,,,
Airpo30052023,,,,,,,,,,,,,,,,,,
Airpo30062023,,,,,,,,,,,,,,,,,,
Airpo30072023,,,,,,,,,,,,,,,,,,
Airpo30082023,,,,,,,,,,,,,,,,,,
Airpo30092023,,,,,,,,,,,,,,,,,,
Airpo30102023,,,,,,,,,,,,,,,,,,
Airpo30112023,,,,,,,,,,,,,,,,,,
Airpo30122023,,,,,,,,,,,,,,,,,,
Airpo31012023,,,,,,,,,,,,,,,,,,
Airpo31032023,,,,,,,,,,,,,,,,,,
Airpo31052023,,,,,,,,,,,,,,,,,,
Airpo31072023,,,,,,,,,,,,,,,,,,
Airpo31082023,,,,,,,,,,,,,,,,,,
Airpo31102023,,,,,,,,,,,,,,,,,,
Airpo31122023,,,,,,,,,,,,,,,,,,
AlQus01012023,,22.748,,56.20399999999999,258.16,4.8672,,,,,,,,,,,,
AlQus01022023,,22.671999999999997,,57.824,148.2,7.343999999999999,,,,,,,,,,,,
AlQus01032023,,25.215999999999998,,61.048,222.96,4.7951999999999995,,,,,,,,,,,,
AlQus01042023,,25.268,,60.211999999999996,256.44,4.5792,,,,,,,,,,,,
AlQus01052023,,31.444000000000003,,24.616,248.28,4.7376,,,,,,,,,,,,
AlQus01062023,,33.732,,48.632,237.44,7.2576,,,,,,,,,,,,
AlQus01072023,,35.076,,50.11600000000001,248.48,7.1712,,,,,,,,,,,,
AlQus01082023,,35.68,,56.532,271.76,6.5232,,,,,,,,,,,,
AlQus01092023,,35.488,,56.711999999999996,323.64,6.5808,,,,,,,,,,,,
AlQus01102023,,33.876,,53.152,324.12,5.9184,,,,,,,,,,,,
AlQus01112023,,31.28,,38.38,118.04,7.070400000000001,,,,,,,,,,,,
AlQus01122023,,25.528000000000002,,55.312,241.56,4.8384,,,,,,,,,,,,
AlQus02012023,,22.816666666666666,,51.2125,190.20833333333334,7.035,,,,,,,,,,,,
AlQus02022023,,23.15416666666667,,59.32083333333333,151.08333333333334,7.59,,,,,,,,,,,,
AlQus02032023,,25.229166666666668,,57.67083333333333,234.41666666666666,6.683478260869565,,,,,,,,,,,,
AlQus02042023,,23.650000000000002,,52.30416666666667,278.5,4.476521739130435,,,,,,,,,,,,
AlQus02052023,,29.96666666666667,,39.9375,260.5416666666667,6.93,,,,,,,,,,,,
AlQus02062023,,33.0875,,45.979166666666664,207.54166666666666,7.739999999999999,,,,,,,,,,,,
AlQus02072023,,34.78333333333333,,49.762499999999996,262.4166666666667,7.740000000000001,,,,,,,,,,,,
AlQus02082023,,37.45,,44.34583333333333,235.66666666666666,7.14,,,,,,,,,,,,
AlQus02092023,,36.36666666666667,,50.4625,128.33333333333334,6.81,,,,,,,,,,,,
AlQus02102023,,33.65833333333333,,49.6,246.33333333333334,7.125,,,,,,,,,,,,
AlQus02112023,,31.09166666666667,,37.208333333333336,147.83333333333334,6.57,,,,,,,,,,,,
AlQus02122023,,26.03333333333333,,57.40833333333333,214.66666666666666,4.515,,,,,,,,,,,,
AlQus03012023,,23.183333333333334,,42.483333333333334,183.25,7.364999999999999,,,,,,,,,,,,
AlQus03022023,,23.02916666666667,,63.73333333333333,195.66666666666666,6.09,,,,,,,,,,,,
AlQus03032023,,25.454166666666666,,61.53333333333333,190.66666666666666,6.66,,,,,,,,,,,,
AlQus03042023,,23.004166666666666,,51.3125,273.2916666666667,4.74,,,,,,,,,,,,
AlQus03052023,,27.825,,53.300000000000004,260.7916666666667,7.455000000000001,,,,,,,,,,,,
AlQus03062023,,32.604166666666664,,46.666666666666664,257.5833333333333,9.360000000000001,,,,,,,,,,,,
AlQus03072023,,34.270833333333336,,60.1625,268.0,8.13,,,,,,,,,,,,
AlQus03082023,,38.50833333333333,,39.75416666666667,229.33333333333334,8.084999999999999,,,,,,,,,,,,
AlQus03092023,,35.6875,,49.35,190.83333333333334,7.95,,,,,,,,,,,,
AlQus03102023,,34.05652173913043,,53.15217391304348,207.17391304347825,6.620869565217391,,,,,,,,,,,,
AlQus03112023,,30.4375,,48.025,247.75,6.9750000000000005,,,,,,,,,,,,
AlQus03122023,,26.120833333333334,,61.604166666666664,155.125,5.612727272727273,,,,,,,,,,,,
AlQus04012023,,23.416666666666668,,36.25833333333333,89.125,9.15,,,,,,,,,,,,
AlQus04022023,,21.829166666666666,,58.65416666666667,294.2916666666667,5.88,,,,,,,,,,,,
AlQus04032023,,24.212500000000002,,68.4375,297.8333333333333,6.765000000000001,,,,,,,,,,,,
AlQus04042023,,23.008333333333336,,55.34166666666667,245.79166666666666,6.66,,,,,,,,,,,,
AlQus04052023,,28.116666666666664,,57.354166666666664,259.4583333333333,8.58,,,,,,,,,,,,
AlQus04062023,,33.4125,,53.98333333333333,223.20833333333334,6.765000000000001,,,,,,,,,,,,
AlQus04072023,,34.925000000000004,,56.987500000000004,269.5416666666667,6.165,,,,,,,,,,,,
AlQus04082023,,38.99166666666667,,35.57083333333333,240.5,6.555,,,,,,,,,,,,
AlQus04092023,,35.5875,,52.27916666666667,232.66666666666666,8.535,,,,,,,,,,,,
AlQus04102023,,33.737500000000004,,55.06666666666666,246.875,6.21,,,,,,,,,,,,
AlQus04112023,,30.41304347826087,,53.286956521739135,294.0869565217391,5.290434782608696,,,,,,,,,,,,
AlQus04122023,,26.445833333333336,,56.78333333333333,204.0,5.5200000000000005,,,,,,,,,,,,
AlQus05012023,,24.087500000000002,,42.53333333333333,170.75,8.52,,,,,,,,,,,,
AlQus05022023,,21.275000000000002,,62.145833333333336,241.75,5.760000000000001,,,,,,,,,,,,
AlQus05032023,,24.21666666666667,,59.17083333333333,248.95833333333334,5.489999999999999,,,,,,,,,,,,
AlQus05042023,,23.204166666666666,,60.925000000000004,264.9166666666667,7.365000000000001,,,,,,,,,,,,
AlQus05052023,,27.979166666666668,,60.49166666666667,275.5833333333333,8.325000000000001,,,,,,,,,,,,
AlQus05062023,,36.18695652173913,,36.71739130434783,189.52173913043478,7.9513043478260865,,,,,,,,,,,,
AlQus05072023,,34.90416666666667,,59.725,273.125,6.57,,,,,,,,,,,,
AlQus05082023,,40.0,,38.17826086956522,156.82608695652175,6.43304347826087,,,,,,,,,,,,
AlQus05092023,,35.28333333333333,,61.449999999999996,233.41666666666666,6.81,,,,,,,,,,,,
AlQus05102023,,33.708333333333336,,59.7125,265.0416666666667,5.4750000000000005,,,,,,,,,,,,
AlQus05112023,,29.729166666666668,,48.833333333333336,270.9583333333333,6.18,,,,,,,,,,,,
AlQus05122023,,26.6375,,50.145833333333336,235.41666666666666,4.935,,,,,,,,,,,,
AlQus06012023,,22.325,,60.07083333333333,208.41666666666666,9.15,,,,,,,,,,,,
AlQus06022023,,21.925,,62.175000000000004,182.79166666666666,5.625,,,,,,,,,,,,
AlQus06032023,,24.7625,,50.60833333333333,252.375,5.61,,,,,,,,,,,,
AlQus06042023,,23.974999999999998,,64.07083333333334,251.20833333333334,7.47,,,,,,,,,,,,
AlQus06052023,,28.120833333333334,,67.88333333333334,302.5416666666667,6.63,,,,,,,,,,,,
AlQus06062023,,37.40833333333333,,27.270833333333332,227.16666666666666,7.965,,,,,,,,,,,,
AlQus06072023,,35.99166666666667,,59.137499999999996,278.25,6.614999999999999,,,,,,,,,,,,
AlQus06082023,,40.03333333333333,,29.47083333333333,153.5,7.455000000000001,,,,,,,,,,,,
AlQus06092023,,36.29130434782609,,54.19130434782609,223.04347826086956,8.311304347826086,,,,,,,,,,,,
AlQus06102023,,33.6875,,64.50416666666666,237.83333333333334,8.49,,,,,,,,,,,,
AlQus06112023,,29.604166666666668,,46.5,278.2916666666667,7.080000000000001,,,,,,,,,,,,
AlQus06122023,,26.145833333333332,,54.17916666666667,258.4583333333333,5.3999999999999995,,,,,,,,,,,,
AlQus07012023,,21.266666666666666,,69.375,240.41666666666666,7.98,,,,,,,,,,,,
AlQus07022023,,24.675,,50.35833333333333,123.54166666666667,6.510000000000001,,,,,,,,,,,,
AlQus07032023,,24.791666666666668,,51.13333333333333,193.0,5.505,,,,,,,,,,,,
AlQus07042023,,25.349999999999998,,59.61666666666667,238.625,7.065,,,,,,,,,,,,
AlQus07052023,,28.633333333333336,,65.37916666666666,286.75,6.795000000000001,,,,,,,,,,,,
AlQus07062023,,35.141666666666666,,40.34583333333333,296.6666666666667,6.390000000000001,,,,,,,,,,,,
AlQus07072023,,38.15833333333333,,46.987500000000004,203.54166666666666,7.44,,,,,,,,,,,,
AlQus07082023,,38.87083333333333,,35.25833333333333,269.75,6.885000000000001,,,,,,,,,,,,
AlQus07092023,,36.37083333333333,,43.550000000000004,173.125,9.09,,,,,,,,,,,,
AlQus07102023,,35.24782608695652,,49.73478260869565,130.56521739130434,7.434782608695652,,,,,,,,,,,,
AlQus07112023,,29.333333333333332,,49.875,247.58333333333334,5.864999999999999,,,,,,,,,,,,
AlQus07122023,,25.695833333333336,,53.40833333333333,267.125,4.815,,,,,,,,,,,,
AlQus08012023,,22.4875,,55.33125,271.0,6.21,,,,,,,,,,,,
AlQus08022023,,24.579166666666666,,48.55833333333334,241.33333333333334,10.35,,,,,,,,,,,,
AlQus08032023,,26.120833333333334,,50.71666666666667,170.91666666666666,4.98,,,,,,,,,,,,
